Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.01    0.02 10000001/20000290     luaC_newobj [16]
-----------------------------------------------
                0.00    0.00       1/20000364     stack_init [133]
                0.00    0.00       1/20000364     luaS_init [118]
                0.00    0.00      33/20000364     luaE_extendCI [77]
                0.00    0.00      39/20000364     luaH_resize <cycle 4> [64]
                0.03    0.01 20000290/20000364     luaC_newobj [16]
[20]     0.2    0.03    0.01 20000364         luaM_malloc_ [20]
                0.01    0.00 20000364/40000948     l_alloc [22]
-----------------------------------------------
                0.00    0.00       3/20000430     luaD_protectedparser <cycle 1> [114]
                0.00    0.00       3/20000430     sweep2old [99]
                0.00    0.00      21/20000430     luaH_newkey <cycle 4> [83]
                0.00    0.00      35/20000430     close_state [4]
                0.00    0.00      39/20000430     luaH_free [79]
                0.00    0.00      42/20000430     luaF_freeproto [78]
                0.00    0.00     296/20000430     luaC_freeallobjects [5]
                0.02    0.01 19999991/20000430     dothecall [14]
[21]     0.2    0.02    0.01 20000430         luaM_free_ [21]
                0.01    0.00 20000430/40000948     l_alloc [22]
-----------------------------------------------
                0.00    0.00       1/40000948     main [1]
                0.00    0.00       1/40000948     lua_newstate [8]
                0.00    0.00     152/40000948     luaM_realloc_ [65]
                0.01    0.00 20000364/40000948     luaM_malloc_ [20]
                0.01    0.00 20000430/40000948     luaM_free_ [21]
[22]     0.1    0.03    0.00 40000948         l_alloc [22]
-----------------------------------------------
                0.03    0.00 25000004/25000004     luaV_execute <cycle 1> [3]
[23]     0.1    0.03    0.00 25000004         luaV_tointeger [23]
-----------------------------------------------
                0.00    0.00       1/142860      entergen [69]
                0.00    0.01  142859/142860      luaC_step [13]
[24]     0.0    0.00    0.01  142860         atomic [24]
                0.01    0.00  142860/142860      luaS_clearcache [25]
                0.00    0.00  285781/285781      propagatemark [137]
                0.00    0.00  571440/571440      clearbyvalues [160]
                0.00    0.00  285720/285720      convergeephemerons [164]
                0.00    0.00  285720/285720      clearbykeys [163]
                0.00    0.00  142860/142861      separatetobefnz [166]
-----------------------------------------------
                0.01    0.00  142860/142860      atomic [24]
